row_id,type,edges.1.from,edges.2.from,edges.2.condition,edges.3.from,edges.1.condition,message_text,choices.1,choices.2,save_name
switch.fields_sq_end2_,split_by_value,start,,,,,@fields.sq_end2_endlineintro2,,,
set_contact_field.sq_end2_endline,save_value,switch.fields_sq_end2_,,,,value;NA|variable;@fields.sq_end2_endlineintro2|type;has_only_phrase|name;is NA,,,,sq_end2_endlineintro2
switch.fields_over_six,split_by_value,set_contact_field.sq_end2_endline,switch.fields_sq_end2_,,,,@fields.over_sixteen,,,
switch.1,split_by_value,switch.fields_over_six,,,,value;yes|variable;@fields.over_sixteen|type;has_any_word|name;Yes,1,,,
set_run_result.dummy,save_flow_result,switch.1,,,,,"Block can’t start with for loop, see issue #47",,,dummy
msg.How_youre_doing,send_message,set_run_result.dummy,,,,,"How you’re doing matters to us ❤️

Your answers help us make these tips better for you and all families seeking strength and hope during war, displacement, and other tough times.💔🌱

Will you answer 5 final quick questions?📝",Yes,No,
switch.input,wait_for_response,msg.How_youre_doing,,,,,,,,input
set_run_result.variable,save_flow_result,switch.input,,,,value;Yes|variable;@input.text|type;has_only_phrase|name;Yes,yes,,,variable
set_run_result.variable.1,save_flow_result,switch.input,,,,value;No|variable;@input.text|type;has_only_phrase|name;No,no,,,variable
set_contact_field.sq_end2_endline.1,save_value,set_run_result.variable,set_run_result.variable.1,,,,@results.variable,,,sq_end2_endlineintro2
set_run_result.dummy.1,save_flow_result,set_contact_field.sq_end2_endline.1,,,,,Need something to apply this label to,,,dummy
switch.fields_sq_end2_.1,split_by_value,set_run_result.dummy.1,,,,,@fields.sq_end2_endlineintro2,,,
set_run_result.next_action,save_flow_result,switch.fields_sq_end2_.1,,,,value;no|variable;@fields.sq_end2_endlineintro2|type;has_only_phrase|name;stop,stop,,,next action
msg.Thank_you_so_mu,send_message,set_run_result.next_action,,,,,Thank you so much for participating in these tips! You are so brave and such an amazing caregiver.,,,
set_contact_field.opt_in_end,save_value,msg.Thank_you_so_mu,switch.fields_sq_end2_.1,,,,@fields.sq_end2_endlineintro2,,,opt_in_end
msg.Sorry_I_dont_un,send_message,switch.input,,,,,"Sorry, I don't understand what you mean.",,,
goto.set_run_result.dummy,go_to,msg.Sorry_I_dont_un,,,,,set_run_result.dummy|,,,
switch.fields_sq_end2_.2,split_by_value,switch.fields_over_six,,,,,@fields.sq_end2_endlineintro2,,,
set_contact_field.sq_end2_endline.2,save_value,switch.fields_sq_end2_.2,,,,,NA,,,sq_end2_endlineintro2
set_contact_field.sq_end2_endline.3,save_value,set_contact_field.opt_in_end,switch.fields_sq_end2_.2,variable;@fields.sq_end2_endlineintro2|type;has_text|name;had value,set_contact_field.sq_end2_endline.2,,yes,,,sq_end2_endlineintro2_complete
