row_id,type,edges.1.from,webhook.url,webhook.method,webhook.headers.1.1,webhook.headers.1.2,webhook.headers.2.1,webhook.headers.2.2,webhook.headers.3.1,webhook.headers.3.2,webhook.body,edges.1.condition,edges.2.from,edges.3.from,edges.3.condition,edges.4.from,edges.5.from,edges.5.condition,edges.6.from,edges.7.from,edges.7.condition,edges.8.from,edges.9.from,edges.9.condition,edges.10.from,edges.11.from,edges.11.condition,edges.12.from,edges.13.from,edges.13.condition,edges.14.from,edges.15.from,edges.15.condition,edges.16.from,edges.17.from,edges.17.condition,edges.18.from,edges.19.from,edges.19.condition,edges.20.from,edges.21.from,edges.21.condition,edges.22.from,edges.23.from,edges.23.condition,edges.24.from,edges.25.from,edges.25.condition,edges.26.from,edges.27.from,edges.27.condition,edges.28.from,edges.29.from,edges.29.condition,edges.30.from,edges.31.from,edges.31.condition,edges.32.from,edges.33.from,message_text,save_name
flow.survey_-_onb,start_new_flow,start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,survey - onb,
switch.fields_s_onb_co,split_by_value,flow.survey_-_onb,,,,,,,,,,value;completed|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@fields.s_onb_complete,
set_contact_field.completed_onboa,save_value,switch.fields_s_onb_co,,,,,,,,,,value;yes|variable;@fields.s_onb_complete|type;has_any_word|name;Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,completed_onboarding
set_run_result.proceed,save_flow_result,set_contact_field.completed_onboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,proceed
flow.set_up_prog_var,start_new_flow,set_run_result.proceed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,set_up_prog_var,
switch.child_results_e,split_by_value,switch.fields_s_onb_co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@child.results.expired,
flow.reset_onboardin,start_new_flow,switch.child_results_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reset_onboarding_survey,
remove_contact_groups.,remove_from_group,flow.reset_onboardin,,,,,,,,,,value;completed|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
switch.fields_joining_,split_by_value,remove_contact_groups.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@fields.joining_trigger_id,
set_run_result.curr_n,save_flow_result,switch.fields_joining_,,,,,,,,,,value;testers|variable;@fields.joining_trigger_id|type;has_any_word|name;Testers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,@(globals.n_testers +1),curr n
