row_id,type,edges.1.from,save_name
set_contact_field.sq_end1_endline,save_value,start,sq_end1_endlineintro1a_complete
set_contact_field.sq_end1_endline.1,save_value,set_contact_field.sq_end1_endline,sq_end1_endlineintro1a
set_contact_field.sq_end1_endline.2,save_value,set_contact_field.sq_end1_endline.1,sq_end1_endlineintro1b_complete
set_contact_field.sq_end1_endline.3,save_value,set_contact_field.sq_end1_endline.2,sq_end1_endlineintro1b
set_contact_field.sq_end1_phq2dow,save_value,set_contact_field.sq_end1_endline.3,sq_end1_phq2down_complete
set_contact_field.sq_end1_phq2dow.1,save_value,set_contact_field.sq_end1_phq2dow,sq_end1_phq2down
set_contact_field.sq_end1_phq2int,save_value,set_contact_field.sq_end1_phq2dow.1,sq_end1_phq2interest_complete
set_contact_field.sq_end1_phq2int.1,save_value,set_contact_field.sq_end1_phq2int,sq_end1_phq2interest
set_contact_field.sq_end1_positiv,save_value,set_contact_field.sq_end1_phq2int.1,sq_end1_positiveparenting_complete
set_contact_field.sq_end1_positiv.1,save_value,set_contact_field.sq_end1_positiv,sq_end1_positiveparenting
set_contact_field.s_end1_complete,save_value,set_contact_field.sq_end1_positiv.1,s_end1_complete
